,gebiet,status,zeitstempel
0,/pizmundaun/,failed,2018-11-05_14-00
1,/aletsch-arena/,failed,2018-11-05_14-00
2,/crans-montana/,failed,2018-11-05_14-00
3,/portes-du-soleil/,failed,2018-11-05_14-00
4,/valdilliez-lescrosets-champoussin/,failed,2018-11-05_14-00
5,/adelboden/,failed,2018-11-05_14-00
6,/gstaad/,failed,2018-11-05_14-00
7,/schoenried-saanenmoeser-zweisimmen-st-stephan/,failed,2018-11-05_14-00
8,/jungfrau-grindelwald-wengen/,failed,2018-11-05_14-00
9,/lenk/,failed,2018-11-05_14-00
10,/meiringen-hasliberg/,failed,2018-11-05_14-00
11,/fribourg-region/,failed,2018-11-05_14-00
12,/les-paccots-chatel-saint-denis/,failed,2018-11-05_14-00
13,/espace-dole-les-tuffes/,failed,2018-11-05_14-00
14,/les-diablerets/,failed,2018-11-05_14-00
15,/diablerets/,failed,2018-11-05_14-00
16,/vallee-de-joux/,failed,2018-11-05_14-00
17,/villars/,failed,2018-11-05_14-00
