,offen,titel,totallifte,zeit_scraping,zeit_siteaktualisiert
0,0,Andermatt - Oberalp - Sedrun,22,2018-11-05_14-00,"05.11.2018, 11:35"
1,0,Arosa Lenzerheide,43,2018-11-05_14-00,"29.10.2018, 10:25"
2,0,Corvatsch - Furtschellas,14,2018-11-05_14-00,"29.10.2018, 07:45"
3,0,Davos Jakobshorn,10,2018-11-05_14-00,"05.11.2018, 05:00"
4,0,Davos Klosters Parsenn,18,2018-11-05_14-00,"05.11.2018, 05:00"
5,0,Flims Laax Falera,28,2018-11-05_14-00,"04.11.2018, 16:05"
6,0,Samnaun,45,2018-11-05_14-00,"05.11.2018, 12:07"
7,0,Scuol Motta Naluns,13,2018-11-05_14-00,"30.10.2018, 11:20"
8,0,St. Moritz - Corviglia,23,2018-11-05_14-00,"31.10.2018, 13:33"
9,0,Anzère,12,2018-11-05_14-00,"05.11.2018, 04:02"
10,1,Belalp,11,2018-11-05_14-00,"23.10.2018, 05:03"
11,0,Champéry / Portes du Soleil,197,2018-11-05_14-00,"05.11.2018, 04:04"
12,0,Grächen,9,2018-11-05_14-00,"05.11.2018, 04:03"
13,0,Grimentz - Zinal,21,2018-11-05_14-00,"05.11.2018, 04:03"
14,0,Morgins / Portes du Soleil,197,2018-11-05_14-00,"28.10.2018, 04:04"
15,0,Nendaz / 4 Vallées,82,2018-11-05_14-00,"05.11.2018, 04:03"
16,0,Saas-Fee,22,2018-11-05_14-00,"05.11.2018, 09:37"
17,1,St-Luc / Chandolin,15,2018-11-05_14-00,"05.11.2018, 04:02"
18,0,Thyon / 4 Vallées,82,2018-11-05_14-00,"05.11.2018, 05:45"
19,0,Verbier / 4 Vallées,82,2018-11-05_14-00,"25.10.2018, 05:03"
20,0,Vercorin,9,2018-11-05_14-00,"23.10.2018, 05:02"
21,0,Veysonnaz / 4 Vallées,82,2018-11-05_14-00,"05.11.2018, 05:45"
22,19,Zermatt,52,2018-11-05_14-00,"05.11.2018, 08:05"
23,2,Gstaad - Saanen - Rougemont,16,2018-11-05_14-00,"25.10.2018, 05:04"
24,11,Jungfrau Ski Region Mürren - Schilthorn,15,2018-11-05_14-00,"05.11.2018, 05:42"
25,0,Andermatt - Gemsstock,22,2018-11-05_14-00,"05.11.2018, 11:35"
26,5,Engelberg Titlis,28,2018-11-05_14-00,"05.11.2018, 07:09"
27,0,Hoch-Ybrig,12,2018-11-05_14-00,"05.11.2018, 04:01"
28,1,Klewenalp - Stockhütte,13,2018-11-05_14-00,"05.11.2018, 04:00"
29,0,Melchsee - Frutt,14,2018-11-05_14-00,"05.11.2018, 04:02"
30,3,Mythenregion,15,2018-11-05_14-00,"03.11.2018, 11:30"
31,0,Sörenberg,16,2018-11-05_14-00,"23.10.2018, 14:37"
32,0,Flumserberg,17,2018-11-05_14-00,"05.11.2018, 04:02"
33,1,Pizol - Bad Ragaz - Wangs,11,2018-11-05_14-00,"23.10.2018, 05:04"
34,0,Toggenburg,17,2018-11-05_14-00,"05.11.2018, 13:45"
35,0,Leysin - Les Mosses - La Lécherette,14,2018-11-05_14-00,"05.11.2018, 04:01"
