,offen,schneehoehe_berg,schneehoehe_tal,titel,totallifte,zeit_scraping,zeit_siteaktualisiert
0,3,"
250","
                                                            -
                                                ",/sedrun/,22,2018-11-16_11-43,2018-11-16_06-57
1,0,"
180","
35 cm
                                                ",/corvatsch-furtschellas/,14,2018-11-16_11-43,2018-11-07_13-33
2,0,"
50","
                                                            -
                                                ",/davos-jakobshorn/,10,2018-11-16_11-43,2018-11-16_05-00
3,0,"
50","
                                                            -
                                                ",/davos-parsenn/,18,2018-11-16_11-43,2018-11-16_05-00
4,0,"
40","
                                                            -
                                                ",/laax/,28,2018-11-16_11-43,2018-11-14_11-05
5,0,"
20","
                                                            -
                                                ",/samnaun/,45,2018-11-16_11-43,2018-11-16_07-57
6,0,"
35","
                                                            -
                                                ",/scuol/,13,2018-11-16_11-43,2018-11-16_10-10
7,0,"
                -            ","
                                                            -
                                                ",/anzere/,12,2018-11-16_11-43,2018-11-16_08-46
8,0,"
350","
100 cm
                                                ",/champery/,197,2018-11-16_11-43,2018-11-16_04-03
9,0,"
150","
                                                            -
                                                ",/graechen/,9,2018-11-16_11-43,2018-11-16_04-01
10,0,"
25","
                                                            -
                                                ",/grimentz-zinal/,21,2018-11-16_11-43,2018-11-16_04-01
11,0,"
370","
20 cm
                                                ",/nendaz-4-vallees/,82,2018-11-16_11-43,2018-11-16_04-02
12,7,"
195","
                                                            -
                                                ",/saas-fee/,22,2018-11-16_11-43,2018-11-16_07-45
13,0,"
                -            ","
                                                            -
                                                ",/funiluc/,15,2018-11-16_11-43,2018-11-16_06-18
14,0,"
370","
20 cm
                                                ",/thyon-4-vallees/,82,2018-11-16_11-43,2018-11-16_05-45
15,0,"
370","
20 cm
                                                ",/veysonnaz-4-vallees/,82,2018-11-16_11-43,2018-11-16_05-45
16,17,"
300","
                                                            -
                                                ",/zermatt/,52,2018-11-16_11-43,2018-11-16_09-27
17,11,"
                -            ","
                                                            -
                                                ",/muerren-schilthorn/,15,2018-11-16_11-43,2018-11-16_05-41
18,3,"
250","
                                                            -
                                                ",/andermatt-gemsstock-naetschen/,22,2018-11-16_11-43,2018-11-16_06-57
19,4,"
50","
                                                            -
                                                ",/engelberg/,28,2018-11-16_11-43,2018-11-16_07-29
20,0,"
150","
                                                            -
                                                ",/ybrig/,12,2018-11-16_11-43,2018-11-16_04-02
21,0,"
                -            ","
                                                            -
                                                ",/klewenalp/,13,2018-11-16_11-43,2018-11-16_04-01
22,0,"
                -            ","
                                                            -
                                                ",/melchsee-frutt/,14,2018-11-16_11-43,2018-11-16_04-02
23,4,"
                -            ","
                                                            -
                                                ",/mythenregion/,15,2018-11-16_11-43,2018-11-14_14-24
24,0,"
280","
55 cm
                                                ",/soerenberg/,16,2018-11-16_11-43,2018-11-13_16-35
25,0,"
                -            ","
                                                            -
                                                ",/flumserberg/,17,2018-11-16_11-43,2018-11-16_04-01
26,0,"
                -            ","
                                                            -
                                                ",/toggenburg/,17,2018-11-16_11-43,2018-11-16_04-00
27,0,"
                -            ","
                                                            -
                                                ",/leysin-mosses-lecherette/,14,2018-11-16_11-43,2018-11-16_04-02
28,,"
                -            ","
                                                            -
                                                ",/vallee-de-joux/,9,2018-11-16_11-43,2018-11-16_09-46
