,gebiet,status,zeitstempel
0,/pizmundaun/,failed,2018-11-05_09-51
1,/aletsch-arena/,failed,2018-11-05_09-51
2,/crans-montana/,failed,2018-11-05_09-51
3,/portes-du-soleil/,failed,2018-11-05_09-51
4,/valdilliez-lescrosets-champoussin/,failed,2018-11-05_09-51
5,/adelboden/,failed,2018-11-05_09-51
6,/gstaad/,failed,2018-11-05_09-51
7,/schoenried-saanenmoeser-zweisimmen-st-stephan/,failed,2018-11-05_09-51
8,/jungfrau-grindelwald-wengen/,failed,2018-11-05_09-51
9,/meiringen-hasliberg/,failed,2018-11-05_09-51
10,/fribourg-region/,failed,2018-11-05_09-51
11,/les-paccots-chatel-saint-denis/,failed,2018-11-05_09-51
12,/espace-dole-les-tuffes/,failed,2018-11-05_09-51
13,/les-diablerets/,failed,2018-11-05_09-51
14,/diablerets/,failed,2018-11-05_09-51
15,/vallee-de-joux/,failed,2018-11-05_09-51
16,/villars/,failed,2018-11-05_09-51
