,offen,titel,totallifte,zeit_scraping,zeit_siteaktualisiert
0,0,Arosa Lenzerheide,43,2018-10-29_14-00,"29.10.2018, 10:25"
1,0,Corvatsch - Furtschellas,14,2018-10-29_14-00,"29.10.2018, 07:45"
2,0,Davos Jakobshorn,10,2018-10-29_14-00,"29.10.2018, 05:00"
3,0,Davos Klosters Parsenn,18,2018-10-29_14-00,"29.10.2018, 05:00"
4,0,Flims Laax Falera,28,2018-10-29_14-00,"29.10.2018, 13:13"
5,0,Obersaxen Mundaun,17,2018-10-29_14-00,"21.10.2018, 05:04"
6,0,Samnaun,45,2018-10-29_14-00,"29.10.2018, 13:57"
7,0,Scuol Motta Naluns,13,2018-10-29_14-00,"29.10.2018, 06:49"
8,0,St. Moritz - Corviglia,23,2018-10-29_14-00,"21.10.2018, 23:03"
9,8,Aletsch Arena / Riederalp - Bettmeralp - Fiesch-Eggishorn,36,2018-10-29_14-00,"21.10.2018, 18:46"
10,0,Anzère,12,2018-10-29_14-00,"29.10.2018, 08:00"
11,1,Belalp,11,2018-10-29_14-00,"Di, 23.10., 05:03"
12,0,Champéry / Portes du Soleil,197,2018-10-29_14-00,"29.10.2018, 04:02"
13,0,Crans Montana - Aminona,27,2018-10-29_14-00,"21.10.2018, 19:07"
14,0,Grächen,9,2018-10-29_14-00,"29.10.2018, 04:02"
15,0,Grimentz - Zinal,21,2018-10-29_14-00,"29.10.2018, 04:03"
16,0,Morgins / Portes du Soleil,197,2018-10-29_14-00,"28.10.2018, 04:04"
17,0,Nendaz / 4 Vallées,82,2018-10-29_14-00,"29.10.2018, 04:04"
18,0,Saas-Fee,22,2018-10-29_14-00,"29.10.2018, 13:22"
19,1,St-Luc / Chandolin,15,2018-10-29_14-00,"29.10.2018, 04:03"
20,0,Thyon / 4 Vallées,82,2018-10-29_14-00,"29.10.2018, 13:45"
21,0,Verbier / 4 Vallées,82,2018-10-29_14-00,"Do, 25.10., 05:03"
22,0,Vercorin,9,2018-10-29_14-00,"Di, 23.10., 05:02"
23,0,Veysonnaz / 4 Vallées,82,2018-10-29_14-00,"29.10.2018, 05:45"
24,13,Zermatt,52,2018-10-29_14-00,"29.10.2018, 07:57"
25,0,Gstaad,47,2018-10-29_14-00,"21.10.2018, 16:58"
26,2,Gstaad - Saanen - Rougemont,16,2018-10-29_14-00,"Do, 25.10., 05:04"
27,8,Jungfrau Ski Region Grindelwald - Wengen,27,2018-10-29_14-00,"17.10.2018, 13:11"
28,9,Jungfrau Ski Region Mürren - Schilthorn,15,2018-10-29_14-00,"29.10.2018, 11:11"
29,0,Lenk,55,2018-10-29_14-00,"22.10.2018, 11:36"
30,2,Engelberg Titlis,28,2018-10-29_14-00,"29.10.2018, 11:47"
31,0,Hoch-Ybrig,12,2018-10-29_14-00,"29.10.2018, 04:00"
32,0,Klewenalp - Stockhütte,13,2018-10-29_14-00,"29.10.2018, 04:02"
33,0,Melchsee - Frutt,14,2018-10-29_14-00,"29.10.2018, 04:02"
34,0,Sörenberg,16,2018-10-29_14-00,"Di, 23.10., 14:37"
35,0,Flumserberg,17,2018-10-29_14-00,"29.10.2018, 04:03"
36,1,Pizol - Bad Ragaz - Wangs,11,2018-10-29_14-00,"Di, 23.10., 05:04"
37,0,Toggenburg,17,2018-10-29_14-00,"29.10.2018, 05:46"
38,,EspaceDôle / La Dôle - Les Tuffes,21,2018-10-29_14-00,"16.10.2018, 17:22"
39,2,Les Diablerets,26,2018-10-29_14-00,"21.10.2018, 16:07"
40,0,Les Diablerets - Glacier 3000,10,2018-10-29_14-00,"21.10.2018, 05:04"
41,0,Leysin - Les Mosses - La Lécherette,14,2018-10-29_14-00,"29.10.2018, 04:00"
42,2,Villars - Gryon,26,2018-10-29_14-00,"22.10.2018, 05:05"
